12992,13
12993,22
12994,29
12995,9
12996,21
12997,26
12998,20
12999,6
13000,14
13001,13
13002,13
13003,17
13004,26
13005,9
13006,25
13007,15
13008,6
13009,11
13010,23
13011,21
13012,9
13013,19
13014,26
13015,39
13016,27
13017,19
13018,19
13019,16
13020,15
13021,14
13022,14
13023,34
13024,8
13025,34
13026,12
13027,25
13028,12
13029,13
13030,22
13031,11
13032,12
13033,16
13034,16
13035,20
13036,11
13037,7
13038,29
13039,27
13040,13
13041,16
13042,20
13043,22
13044,34
13045,26
13046,10
13047,15
13048,14
13049,6
13050,18
13051,15
13052,25
13053,20
13054,28
13055,19
13056,17
13057,19
13058,24
13059,15
13060,9
13061,22
13062,15
13063,25
13064,26
13065,24
13066,12
13067,10
13068,23
13069,23
13070,16
13071,14
13072,18
13073,19
13074,14
13075,18
13076,31
13077,25
13078,23
13079,15
13080,20
13081,23
13082,27
13083,20
13084,21
13085,17
13086,18
13087,15
13088,11
13089,18
13090,35
13091,32
13092,27
13093,27
13094,16
13095,23
13096,18
13097,9
13098,14
13099,17
13100,30
13101,24
13102,19
13103,29
13104,27
13105,24
13106,19
13107,21
13108,27
13109,42
13110,24
13111,13
13112,15
13113,14
13114,22
13115,12
13116,16
13117,17
13118,15
13119,15
13120,31
13121,13
13122,23
13123,11
13124,9
13125,13
13126,17
13127,14
13128,8
13129,18
13130,21
13131,29
13132,17
13133,27
13134,5
13135,25
13136,13
13137,21
13138,6
13139,32
13140,15
13141,36
13142,14
13143,13
13144,38
13145,13
13146,16
13147,22
13148,12
13149,16
13150,22
13151,20
13152,26
13153,24
13154,19
13155,13
13156,19
13157,12
13158,11
13159,12
13160,18
13161,15
13162,19
13163,17
13164,24
13165,25
13166,17
13167,7
13168,28
13169,25
13170,16
13171,25
13172,17
13173,17
13174,23
13175,15
13176,17
13177,15
13178,22
13179,24
13180,19
13181,17
13182,12
13183,25
13184,16
13185,21
13186,10
13187,9
13188,25
13189,11
13190,10
13191,15
13192,28
13193,13
13194,18
13195,13
13196,18
13197,26
13198,13
13199,23
13200,6
13201,12
13202,23
13203,21
13204,23
13205,15
13206,16
13207,10
13208,17
13209,9
13210,16
13211,14
13212,21
13213,20
13214,14
13215,18
13216,19
13217,30
13218,13
13219,21
13220,22
13221,19
13222,27
13223,14
13224,26
13225,22
13226,28
13227,20
13228,14
13229,20
13230,9
13231,9
13232,21
13233,13
13234,22
13235,29
13236,50
13237,11
13238,14
13239,16
13240,7
13241,24
13242,17
13243,17
13244,17
13245,33
13246,24
13247,37
13248,21
13249,10
13250,15
13251,24
13252,14
13253,20
13254,26
13255,20
13256,30
13257,17
13258,17
13259,28
13260,18
13261,28
13262,10
13263,12
13264,22
13265,24
13266,9
13267,7
13268,17
13269,26
13270,14
13271,21
13272,18
13273,17
13274,24
13275,20
13276,15
13277,18
13278,14
13279,16
13280,21
13281,6
13282,7
13283,15
13284,25
13285,17
13286,10
13287,30
13288,21
13289,21
13290,21
13291,16
13292,14
13293,23
13294,5
13295,11
13296,24
13297,9
13298,20
13299,12
13300,8
13301,15
13302,21
13303,16
13304,8
13305,27
13306,21
13307,20
13308,22
13309,23
13310,36
13311,8
13312,14
